ax,ay,az,
2024,16156,4292,
2040,16144,4312,
2024,16168,4352,
2048,16176,4164,
2004,16128,4160,
2004,16112,4212,
1936,16112,4276,
1912,16076,4284,
2060,16076,4420,
1980,16056,4328,
1912,16064,4328,
1980,16052,4444,
2024,16080,4524,
1940,16044,4436,
2060,16032,4436,
1948,16004,4572,
1936,16008,4512,
2096,16048,4392,
2024,16040,4308,
2120,15972,4288,
2072,16068,4392,
2212,16052,4488,
2212,16028,4448,
2108,15992,4424,
2120,15992,4320,
2032,16016,4200,
2172,15968,4200,
2080,16088,4212,
2104,16136,4128,
2060,16068,3936,
2108,15996,3900,
2060,16004,3892,
2064,16104,3868,
2140,15996,3836,
2200,15972,3968,
2196,16068,3884,
2308,15988,3916,
2192,15928,4052,
2192,15988,3916,
2268,15980,3940,
2320,15980,3932,
2276,15996,4108,
2260,15964,3920,
2264,15952,3920,
2440,15988,3780,
2320,16048,3984,
2368,15964,4012,
2288,16020,4020,
2292,16152,4168,
2368,16108,4068,
2328,16072,3980,
2296,16072,3936,
2324,15992,3868,
2264,16080,3932,
2268,16000,3844,
2268,16012,3872,
2248,16192,3996,
2332,16192,3948,
2304,16176,3988,
2316,16152,3988,
2208,16196,3920,
2320,16136,3924,
2272,16204,3900,
2324,16240,3940,
2284,16172,4008,
2200,16196,3976,
2356,16164,4060,
2280,16104,4068,
2312,16136,4052,
2464,16148,4028,
2456,16144,3880,
2456,16064,3920,
2384,15992,4028,
2432,15992,4008,
2492,16080,4008,
2416,16056,4008,
2404,15944,3948,
2404,15936,4100,
2488,15948,4064,
2600,15952,3944,
2452,15944,3916,
2408,15960,3820,
2432,15908,3844,
2528,15848,3940,
2452,15892,3832,
2472,15864,3844,
2480,15848,3800,
2480,15824,3920,
2472,15772,3908,
2448,15760,3848,
2404,15760,3632,
2464,15736,3724,
2508,15776,3724,
2592,15756,3940,
2520,15820,3764,
2608,15760,3636,
2480,15672,3728,
2476,15772,3788,
2564,15656,3832,
2500,15668,3820,
2572,15656,3864,
2500,15760,3912,
2544,15756,3848,
2436,15808,3868,
2436,15756,3884,
2544,15700,3796,
2464,15700,3852,
2460,15744,3944,
2484,15696,3944,
2416,15792,4064,
2420,15708,3944,
2444,15672,3928,
2368,15764,3940,
2544,15692,3908,
2456,15796,4036,
2516,15744,3952,
2444,15792,4004,
2448,15820,4036,
2424,15708,3980,
2380,15684,3892,
2380,15740,3988,
2360,15668,3908,
2464,15668,3852,
2316,15672,3924,
2368,15680,4112,
2436,15792,4112,
2384,15780,4068,
2392,15624,4020,
2360,15596,4040,
2332,15716,4164,
2428,15784,4080,
2440,15728,4068,
2404,15692,4116,
2432,15672,4068,
2412,15732,4132,
2424,15720,4168,
2424,15668,4088,
2404,15740,4016,
2508,15692,4136,
2484,15692,4244,
2472,15688,4184,
2408,15664,4184,
2416,15692,4160,
2436,15776,4056,
2372,15692,3936,
2412,15672,3940,
2492,15692,4156,
2480,15684,4380,
2516,15708,4216,
